CaseNumber WM PA Contrast
2 2.896555835519e-01 3.387088145615e-01 1.169350200014e+02
3 2.767175523108e-01 3.446243163317e-01 1.245400999878e+02
4 2.734615239307e-01 3.317518894298e-01 1.213157466035e+02
5 3.180913132760e-01 4.639580854672e-01 1.458568864044e+02
6 3.052870901570e-01 4.502997354865e-01 1.475004184602e+02
7 2.987132936744e-01 3.354208783482e-01 1.122885674829e+02
8 2.712696413352e-01 3.440763671311e-01 1.268392457916e+02
9 2.750027166041e-01 3.698503421480e-01 1.344897049437e+02
