CaseNumber WM PA Contrast
2 2.906090668863e-01 4.240471056571e-01 1.459166811967e+02
3 2.705907111248e-01 3.162383763126e-01 1.168696349546e+02
4 2.706216767355e-01 3.885736966664e-01 1.435855772360e+02
5 2.826431877408e-01 3.473186873077e-01 1.228823839994e+02
6 3.095802829123e-01 3.406177273416e-01 1.100256528411e+02
7 2.665218915442e-01 2.969420866707e-01 1.114137697846e+02
8 2.930633466851e-01 4.275851024589e-01 1.459019380265e+02
9 3.170805216997e-01 3.534196658026e-01 1.114605412871e+02
